univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000369823400015	12	0	0	1
leiden univ	000282392800125	1	0	0	1
leiden univ	000267694900002	7	0	0	6
leiden univ	000336694200002	3	3	0	0
tu delft	000341024000013	4	1	0	0
tu delft	000289836300033	3	2	0	0
leiden univ	000319904500031	6	0	0	1
leiden univ	000312762900012	3	0	0	2
leiden univ	000277955200132	13	0	0	4
tu delft	000373553800020	3	2	0	0
tu delft	000263766100009	6	4	0	0
tu delft	000381533500055	3	1	0	0
tu delft	000400097100007	5	3	0	0
leiden univ	000374129700002	8	0	0	1
leiden univ	000361017000002	1	0	0	1
leiden univ	000327744605015	9	0	0	1
tu delft	000397687100038	3	2	0	0
leiden univ	000278219100007	6	0	0	3
tu delft	000275999800020	4	0	0	0
leiden univ	000407656700016	14	0	0	8
leiden univ	000374106600010	3	0	0	1
leiden univ	000395902700028	6	0	0	6
leiden univ	000323734600026	3	0	0	1
tu delft	000315335100001	4	4	0	0
leiden univ	000262320500005	5	0	0	4
tu delft	000252281900012	2	1	0	0
leiden univ	000318009804150	20	0	0	1
tu delft	000265412500006	1	1	0	0
tu delft	000209928400028	3	3	0	0
leiden univ	000362968500015	9	0	0	4
tu delft	000343863400006	3	2	0	0
leiden univ	000304682500002	6	0	0	6
leiden univ	000330724000027	6	0	0	1
leiden univ	000385758800023	4	0	0	4
tu delft	000412377700021	4	1	0	0
leiden univ	000307904300014	5	0	0	1
leiden univ	000277307000004	5	0	0	5
tu delft	000326908000013	4	4	0	0
tu delft	000258529900007	10	3	0	0
leiden univ	000209816000070	4	0	0	3
leiden univ	000403352100012	12	0	0	9
leiden univ	000363311700003	26	0	0	1
tu delft	000256763900008	4	2	0	0
leiden univ	000266198600296	11	0	0	1
leiden univ	000374066600001	4	0	0	1
tu delft	000413519800015	4	4	0	0
leiden univ	000408695700001	12	0	0	3
lumc	000329547900011	3	0	0	3
leiden univ	000318569000260	5	0	0	1
leiden univ	000404515703252	10	0	0	1
tu delft	000295320300016	5	3	0	0
tu delft	000263699600029	3	0	0	0
tu delft	000255414900030	3	3	0	0
leiden univ	000276636400038	2	0	0	2
leiden univ	000287264400046	7	0	0	3
lumc	000302804600500	9	0	0	1
tu delft	000259340500006	2	2	0	0
leiden univ	000340423600025	4	0	1	0
tu delft	000313890800006	3	1	0	0
leiden univ	000273757300007	6	0	0	5
leiden univ	000350577900048	11	0	0	1
leiden univ	000404158500002	4	0	0	1
leiden univ	000266931901181	4	0	0	4
tu delft	000377047100011	4	4	0	0
leiden univ	000313462100002	10	0	0	2
leiden univ	000335507600008	7	0	0	2
tu delft	000304665800001	7	1	0	0
leiden univ	000352422900009	26	0	0	8
tu delft	000390835300010	5	4	0	0
tu delft	000276211200055	7	5	0	0
leiden univ	000330208100030	6	0	0	6
leiden univ	000374131200016	21	0	0	1
leiden univ	000397280700015	5	0	0	3
tu delft	000394544700037	7	1	0	6
lumc	000413181400440	4	0	0	3
tu delft	000333091100016	3	3	0	0
tu delft	000270383500083	3	2	0	1
leiden univ	000348421800007	5	0	0	1
leiden univ	000368442000016	4	0	0	1
leiden univ	000269069700004	2	0	0	1
tu delft	000368562200074	7	5	0	0
tu delft	000413798700001	6	1	0	0
leiden univ	000338748800008	25	0	0	12
tu delft	000348205300017	5	1	0	0
leiden univ	000282166700002	5	0	0	1
leiden univ	000261947200003	1	0	0	1
tu delft	000285798400079	7	7	0	0
lumc	000208702705501	10	0	0	10
leiden univ	000263590200033	9	0	0	1
leiden univ	000209765001224	6	0	0	2
tu delft	000353233300001	1	1	0	0
tu delft	000400243000012	2	2	0	0
leiden univ	000271324900011	7	0	0	2
tu delft	000391701600019	4	4	0	0
leiden univ	000208898500228	10	0	0	2
tu delft	000391090800051	9	9	0	0
lumc	000283452900035	5	0	0	4
leiden univ	000386683300003	37	0	0	6
lumc	000317698901024	4	0	0	4
tu delft	000318953400015	10	3	0	1
leiden univ	000294244300035	2	0	0	1
tu delft	000384629200028	2	1	0	0
leiden univ	000392319600020	5	0	0	5
leiden univ	000314181300027	7	0	0	7
leiden univ	000262104701012	4	0	0	1
leiden univ	000277550200008	2	0	0	1
tu delft	000300802000011	3	3	0	0
tu delft	000259363300015	3	3	0	0
tu delft	000399725500006	17	1	0	0
leiden univ	000383272500003	11	0	0	1
lumc	000276756900131	6	0	0	5
tu delft	000331424000024	2	2	0	0
leiden univ	000374052800007	3	0	0	3
leiden univ	000399534600007	31	0	0	1
leiden univ	000254866300009	10	0	0	1
tu delft	000274048500002	6	3	0	0
lumc	000282425100009	2	0	0	2
leiden univ	000309748304185	17	0	0	1
tu delft	000254422300013	6	6	0	0
tu delft	000322197700005	7	5	0	0
tu delft	000362603400023	4	0	0	0
tu delft	000276031000017	5	1	0	0
leiden univ	000328699100003	1	0	0	1
leiden univ	000297621502586	9	0	0	5
leiden univ	000353041200004	21	0	0	4
leiden univ	000263318200022	11	0	0	1
leiden univ	000300875500024	10	0	0	3
leiden univ	000277000500033	6	0	0	4
tu delft	000253325100011	4	4	0	0
tu delft	000270383500088	3	3	0	0
leiden univ	000293385400001	2	0	0	1
tu delft	000411533400010	2	2	0	0
leiden univ	000404479300001	19	0	0	1
