to	from	weight
47041330	13262271	2
39988957	15851466	5
33800547	17461947	4
1618441	40942955	1
1425892	33503541	2
5368625	47195665	1
31375060	38502358	7
9067143	9033529	1
26571391	47225863	1
6685708	5368625	1
1487246	28020639	1
1928592	18193745	1
13254869	27399874	1
10843591	19307792	2
51285527	1964069	1
34604711	37931458	6
39988957	23752112	1
50993866	33538769	1
48864659	3794595	1
35156155	3015204	1
51009352	44958261	1
35872928	8969471	1
27810395	2398006	6
42124777	27854445	3
24660626	5641040	2
17578693	17684100	2
43581697	3474352	1
30498598	47955889	2
17228155	36276415	2
1883016	39048977	1
8959250	7849223	1
46982903	40994916	3
21009435	10034241	1
19772234	43328035	1
49627214	47041330	2
8469053	6650642	1
29554129	31259881	2
22352426	36295159	1
38311718	19068275	1
45446438	42233430	1
33184755	2996909	1
13462795	22856022	2
51525277	51273547	1
1423176	13020740	1
41342471	41203518	1
9038887	49086044	1
24034168	3227806	1
37273577	42552063	1
12979208	14680963	1
11124148	47087538	1
35358746	28906479	1
26890258	17212589	1
43230235	1808162	1
23555244	1299929	1
21558751	24263303	1
49391538	29983366	1
6194746	6835359	2
8042154	1737362	5
19986397	46194648	1
14893743	42618781	2
22422173	13078338	1
38318370	51082991	10
13020740	44686806	3
33827967	9871135	1
45468881	7962624	1
13251765	24644811	1
37084914	25735692	1
8199077	14348315	3
13198117	35196705	1
16974267	38104106	1
779669	8620269	1
44200133	14439510	1
21558751	41203387	1
104228	36276415	1
39586412	1721561	7
21908506	18857164	3
7097612	46946810	1
42761296	36411661	1
10988409	48384427	1
25483199	38408300	1
21417708	12391891	2
43432776	34046326	2
25455715	41041437	9
17140920	1618060	1
44563925	35383235	1
3256340	22497932	1
6568046	26673409	1
2470056	14589606	1
19807191	34428502	1
7144300	15851466	2
41720858	22371030	1
31666827	14188129	1
49528691	37146403	1
33800547	26582831	1
9718816	41242951	10
34757221	35199268	1
47041330	49495913	6
24518777	6835359	3
15477976	21894977	1
38877050	34646023	1
8153135	16039370	2
41201274	39131385	1
14559163	11169941	3
32970735	50817848	3
5377048	29921296	1
13426700	34164256	3
42452854	22070552	1
43336809	5809897	1
50472580	15200382	4
50502462	43658252	1
30821579	37074412	2
50961064	7847672	1
41842859	17462441	4
50976908	23907779	1
46749957	28007960	1
36617297	37299367	4
48001581	37665885	1
11995125	45978433	1
38019649	18473715	4
43994650	3734265	1
20016420	30891085	12
33114292	40891565	1
8385289	22795463	1
14990442	9797369	1
13006876	20395601	1
33136678	42016773	1
26175961	41400702	1
711605	12392841	1
23406690	29144826	1
2445119	19224141	3
13671893	48084433	1
38703906	42145248	4
31677267	4012920	1
8867573	42162220	1
33800547	21511968	1
9351558	13935357	4
26985784	6136225	1
8235156	14941681	1
23335050	36535296	1
655036	45209008	1
20306321	22496649	1
49944372	19984154	2
7594511	21704031	1
18044400	13704505	2
2502871	48939483	1
694923	34672471	1
44218697	37596344	1
46440235	24782716	1
32322251	13794609	9
13110830	5498615	2
12392841	42312977	1
3191618	9654078	1
48589076	15971006	2
40994916	36276371	8
3794595	26579391	1
18806230	39688887	2
34528888	4708143	1
26907017	21134465	1
19779690	43328035	1
14627018	15971006	2
42562048	19264570	9
24245763	37149646	2
31857200	48084433	2
11078826	23522193	1
2953534	42236840	1
16967240	21085585	1
25727202	25380980	7
46563622	41822224	1
